F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
2.44,3.3,-105.44,USA,-165.27,472.89,2.26,287.21,3,3,6.06,Very high,-17908.57,-1.29,-25.77,1333.62,222.73
10.64,10.02,-138.46,Europe,-193.89,615.3,14.78,581.07,0,3,6.66,Very high,-15150.85,-0.9,-41.43,834.7,815.31
6.78,6.68,-276.26,Europe,-149.61,-37.5,19.53,409.4,4,4,-1.66,High,-17722.47,-12.39,-32.85,1154.52,853.64
10.62,11.64,-237.42,Europe,-254.07,487.35,0.07,-280.65,7,4,-1,Very low,-10626.28,-15.03,-39.66,791.06,1806.31
10.84,3.74,-166.92,Rest,-110.37,467.46,0.34,-7.39,4,5,5.82,Medium,-30322.58,-5.7,-34.35,2056.14,1510.38
6.36,8.3,-291.34,UK,-178.86,479.16,0.31,461,5,2,0.04,High,-12618.9,-16.56,-35.85,1665.34,1394.41
9.7,1.64,-203.22,Rest,-151.08,518.19,44.47,-292.07,4,6,-0.36,Very low,-18484.91,-4.98,-34.26,1711.24,374.84
7.08,3.92,-144.06,Rest,-366.57,560.25,1.66,-156.81,6,2,19.42,Very low,-4496.37,3.18,-30.6,1865.56,0
11,10.74,-178.56,UK,-163.08,683.22,7.57,-194.22,3,4,0.48,Very low,-25737.78,-3.51,-47.22,1912.58,1567.58
4.56,6.34,-279.04,Europe,-315.3,474.27,32.59,575.39,4,2,2.12,Very low,-15022.63,-8.88,-43.41,423.12,0
13.44,1.96,-202.04,Europe,-267.12,351.84,0.17,619.56,8,5,-0.22,Medium,-15224.09,-2.13,-37.05,2055.96,0
20.98,8.7,-7.92,Europe,-292.62,539.19,1.05,296.14,4,7,4.06,Very low,-13402.58,-16.35,-25.68,2195.7,0
4.94,11.72,-183.26,Rest,-245.82,-317.01,18.3,590.77,5,4,7.3,Very high,-15854.02,-11.52,-24.15,1581.3,539.15
1.34,8.24,-102.84,UK,-289.32,601.26,0.1,118.86,2,5,16.82,Very high,-15796.75,-15.63,-41.58,564.42,0
9.7,6.3,-185.62,Rest,-220.5,516.81,0.02,543.92,6,4,13.16,Low,-14534.62,18.15,-37.98,1012.7,562.7
6.2,11.4,-196.02,UK,-203.04,446.4,0.51,-182.98,2,6,6.22,Very low,-14017.75,-9.03,-32.25,1741.38,0
14.3,5.42,-146.42,USA,-242.4,513.66,0.01,148.28,3,4,-3.48,Low,-16992.89,-1.11,-44.43,243.04,494.71
6.94,0.86,-158.94,Rest,-324.78,711.03,1.22,-63.77,7,3,2.54,Low,-14822.86,-23.4,-37.53,1610.56,33.15
9.2,12.22,-183.66,UK,-167.31,581.61,24.63,105.67,7,3,4.28,High,-16776.05,-12.75,-40.32,387.66,2910.86
13.7,11.18,-247.8,USA,-204.42,549.66,24.1,41.08,10,3,12.04,Low,-15719.7,-8.58,-43.14,2527.98,1006.84
5.14,4.58,-195.5,Europe,-242.67,910.98,2.54,-410.67,5,3,0.76,Medium,-11850.47,-11.43,-32.34,1123.88,1195.16
2.44,6.12,-176.5,Europe,-364.47,1031.94,0.01,-26.47,3,7,10.08,Very high,-3014.25,0.06,-39.18,1469.32,0
13.12,1.16,-138.12,Rest,-249.45,408.24,74.88,-313.67,6,3,14.66,Medium,-17895.19,-13.83,-27.12,1231.46,2847.75
12.12,3.88,-178.82,Europe,-356.76,631.71,44.77,432.98,6,4,17.92,High,-18035.18,-15.57,-58.05,2192.16,0
8.82,9.04,-207.38,Europe,-89.79,570.99,10.35,17.34,2,4,0.34,Very high,-8572.27,-23.85,-24.87,1944.98,1488.69
9.66,5.14,-125.28,Europe,-228.48,526.5,0.33,-73.67,3,4,20.4,Very low,-12443.73,-12.84,-40.41,2478.9,0
10.5,5.86,-97.84,USA,-157.2,724.74,12.91,-13.51,6,3,18.52,High,-24210.62,-13.05,-40.17,493.64,1372.08
1.86,37.24,-92.8,Rest,-84.21,512.16,0.6,417.49,6,3,13.18,Medium,-17287.91,-11.16,-30.33,2394.72,3785.83
2,17.72,-93.24,UK,-203.25,505.71,4.16,-250.36,5,5,13.26,Low,-20772.06,-28.23,-33.48,1673.08,1947.33
5.82,31.84,-164.34,USA,-77.22,626.58,2.93,673.32,3,4,8.02,Low,-24586.79,-20.01,-40.26,1283.78,1342.36
13.38,4.4,-190.96,UK,-231.54,709.41,0.21,5.13,3,7,9.5,Very low,-14620.95,-8.49,-21.75,23.66,489.87
4,27.2,-199.3,Rest,-176.79,692.79,25.56,319.17,1,4,9.92,Low,-11215.28,-15.84,-35.97,1174.5,2831.17
11.04,2.38,-229.42,Rest,-298.29,707.34,1.46,-130.91,0,4,6.84,Very low,-15441.8,-0.66,-43.14,829.02,0
10.52,2.16,-260.72,Rest,-320.73,1024.83,0.19,145.95,3,5,6.3,Medium,-15442.38,-2.19,-37.08,1961.2,0
10.6,2.18,-290.82,Rest,-199.26,475.65,9.15,-261.39,4,3,6.88,High,-16597.35,-1.47,-42.15,1344.42,2814.09
6.9,5.12,-227.22,USA,-229.26,629.91,0.09,-208.58,8,3,5.72,Low,-18350.78,-6.63,-36.63,248.12,1067.85
2.56,8.2,-215.06,Europe,-284.94,163.86,18.99,-30.66,5,2,7.86,Medium,-10503.75,2.43,-41.1,987.46,816.64
15.4,1.26,-174.58,Europe,-243.36,385.98,0.08,-136.38,8,6,6.38,Low,-15661.35,-10.02,-53.28,1072.34,1115.22
21.36,3.18,-205.32,Europe,-91.98,423.69,0.58,-74.68,6,5,9.04,Medium,-12457.77,-3.72,-35.37,2169.24,1930.62
13.42,20.2,-229.74,USA,-173.37,390.84,416.89,-5.75,3,4,-11.86,Low,-23403.53,-11.31,-31.65,1313.54,1222.75
4.02,5.4,-195.94,Europe,-62.88,498.15,14.6,8.93,0,4,4.56,Low,-12959.62,-7.95,-36.72,-566.08,1409.08
5.94,10.94,-132,UK,-277.65,568.26,2537.86,423.24,1,5,5.16,Very high,-17796.15,6.27,-33.18,1919.12,0
15.5,8.96,-164.92,USA,-156.36,563.07,1.4,-97.65,4,4,18.34,Very high,-15538.79,-3.06,-36.42,1643.44,1274.75
4.84,6.06,-198.82,Rest,-324.69,884.88,0.67,18.16,4,4,-2.5,High,-17908.18,-4.41,-62.82,1488.5,30.47
6.84,9.12,-151.36,UK,-213.33,506.07,17.08,231.36,0,3,5.18,Medium,-12922.69,-8.61,-36.15,1363.38,0
18.28,6.38,-25.62,Europe,-206.88,613.71,2.81,50.36,7,5,1.9,Very low,-11813.06,-11.67,-35.64,1543.98,1251
9.48,4.62,-240.46,Rest,-122.67,509.4,0.48,-43.07,5,5,2.52,Very high,-15254.36,-12.42,-41.55,2331.6,2448.73
5.74,7.72,-169.76,Rest,-142.77,475.11,21.95,50.66,6,3,5.62,High,-11996.87,-20.67,-37.02,1514.92,3248.36
4.96,4.94,-188.18,Europe,-120.09,710.16,0.42,-757.92,6,4,2.88,Low,-17526.94,-6.93,-25.5,626.18,2350.35
18.14,1.14,-192.94,Rest,-126.84,468.51,0.07,333.19,5,3,3.84,High,-11482.35,-31.47,-32.76,610.6,3603.49
3.04,15.32,-158.18,Rest,-188.49,460.41,0.01,317.07,6,6,15.04,Very low,-13716.52,-18.06,-33.81,2020,196.6
5.12,4.2,-137.58,Rest,-157.71,458.46,2.3,75.61,2,1,10.86,Very high,-17665.49,-22.77,-33.39,897.08,2905.21
16.92,8.3,-247.34,Rest,-328.29,564.18,0.34,-366.13,5,3,5.1,High,-20501.05,-16.17,-41.46,828.14,3635.12
17.14,8.78,-245.24,Europe,-184.02,730.17,0.38,272.28,2,6,5.36,Very high,-18403.11,-16.5,-34.02,2871.92,471.76
16.08,0.58,-261.96,Rest,-202.32,520.95,0.01,438.31,1,4,18.22,Medium,-11539.23,-7.68,-34.47,1879.98,0
4.06,7.86,-217.38,Rest,-247.86,577.2,5.1,353.56,5,5,-0.18,High,-13557.22,-18.69,-41.16,-107.12,1473.57
9.12,6.64,-175.08,USA,-121.05,859.44,0.9,-113.88,4,4,15.68,Very high,-15887.83,-4.26,-29.37,1246.8,1129.01
13.2,4.8,-208.86,Rest,-289.56,296.55,0.69,47.12,4,6,6.76,Very high,-6872.04,-35.64,-42.87,614.28,1648.66
2.48,3.64,-194.74,Rest,-284.88,517.71,2.71,182.87,3,6,3.96,Very low,-491.19,-16.95,-35.07,2264.18,0
11.18,5.58,-116.34,UK,-302.1,467.67,23.65,241.27,6,2,4.84,Very high,-23284.68,5.82,-32.01,1306.98,1684.39
6.9,0.54,-262.48,USA,-201.81,526.89,1.02,417.63,4,4,8.6,Medium,-22466.95,-22.29,-36.6,1991.3,0
1.24,13.32,-222.9,UK,-198.39,653.67,0,971.02,3,8,-0.02,Very low,-14226.09,-4.38,-32.52,2186.2,0
10.42,9.78,-208,Europe,-263.13,578.49,11.16,-105.89,6,5,14.34,Medium,-13886.63,-14.52,-56.28,1137.68,1266.99
4.24,1.34,-161.52,Rest,-260.16,521.34,0.05,306.49,7,7,14.52,Medium,-14530.36,3,-13.77,1991.44,0
10.3,3.5,-256.74,USA,-193.62,418.86,0.11,-326.83,4,3,14.08,High,-7016.89,-7.62,-36.39,1383.86,845.63
15.44,9.08,-191.8,USA,-273.75,325.89,5.85,184.38,5,4,-0.94,High,-15024.17,-24.87,-33.57,2027.92,435.31
5.82,10.2,-193.3,Rest,-58.26,482.34,0.71,914.83,5,2,10.7,Very low,-12098.08,2.46,-46.68,1649.3,903.02
5.92,11.8,-94.4,USA,-287.79,349.02,2.58,240.57,4,3,2.38,Very high,-10439.41,-11.16,-49.71,2586.46,133.18
14.54,8.88,-167.44,Rest,-271.65,457.59,9.07,78.26,2,4,12.14,Low,-13882.61,-7.62,-33.72,683.28,1318.04
4.66,3.66,-185.12,Rest,-245.67,408.24,25.57,431.45,2,3,4.94,Very high,-18133.71,-11.64,-38.88,2342.4,0
3.18,9.28,-179.66,Rest,-291.03,720.96,0.71,176.7,5,2,3.18,Medium,-15547.83,-9,-38.37,2178.28,86.56
11.1,3.46,-199.98,Europe,-279.96,424.89,1.61,548.88,6,1,4.96,Very low,-24682.63,-15.42,-42.45,1731.1,0
11.44,1.36,-213.04,UK,-200.04,201.93,0.65,166.69,3,4,7.48,Very high,-17540.02,-11.82,-44.43,1910.24,307.93
11.4,0.8,-98.16,USA,-417.36,531.45,0.17,171.64,5,6,5.62,Low,-15873.61,-3.33,-38.82,896.7,0
13.46,3.9,-233.86,Europe,-233.16,645.6,0.49,-495.59,2,2,5.86,Very low,-8856.99,3.6,-37.29,2095.8,764.78
2.52,4.14,-178.78,Europe,-157.05,593.46,0.05,696.1,4,5,10.34,Very high,-16515.39,1.92,-10.89,1386.64,0
0.86,2.76,-123.64,Rest,-380.34,510.21,0.04,-228.94,3,6,6.08,High,-22984.86,-13.74,-51.48,2248.7,0
16.92,9.58,-97.44,Europe,-235.62,518.13,0.05,-26.17,4,4,8.42,Low,-14738.78,-4.05,-27.24,2062.68,1027.79
5.28,5.96,-303.42,Rest,-144.12,444.93,0.06,-116.92,3,6,-1.34,Very high,-11713.96,-16.38,-29.91,1689.26,1498.98
10.18,1.76,-162.98,Rest,-86.94,852.09,74.73,-184.19,5,4,11.74,Very low,-9883.44,-22.83,-37.35,1485.26,2428.75
2.06,2.24,-173.06,Rest,-233.7,517.86,0.54,-41.13,5,3,3.68,Low,-18581.38,-13.59,-40.95,1093.48,234.04
11.96,1.84,-188.28,UK,-336.12,571.14,1.08,245.77,5,5,2.44,Medium,-14916.08,7.98,-53.49,1743.88,0
11.16,9.1,-120.42,USA,-362.01,506.94,1.97,-103.31,4,2,8.24,Medium,-16749.18,-29.04,-43.56,1400.48,360.45
5.74,5.54,-98.96,USA,-476.1,498.48,41.99,892.87,7,5,3.84,Medium,-13104.06,-0.93,-36.54,1851.38,0
9.86,9.76,-168.92,UK,-244.41,532.71,1.02,391.95,5,7,4.22,Very low,-19511.21,-9.78,-38.61,2051.06,0
9.7,18.04,-234.2,USA,-308.58,483.27,0.01,203.58,8,3,1.68,Medium,-9100.55,-16.32,-24.39,386.28,1341.95
2.26,7.44,-77.62,Rest,-203.28,405.21,13.36,477.8,2,3,2.46,Very low,-17377.99,1.44,-51.15,2094.42,0
17.96,11.72,-325.68,UK,-189.51,379.56,0.04,736.33,3,3,14.24,Very high,-13269.83,-20.52,-32.4,1525.82,2156.31
11.2,21.86,-234.7,Europe,-128.4,268.86,0.04,192.73,4,7,11.36,High,-13945.19,-28.8,-19.92,1662.4,1988.69
5.48,11.58,-174.06,Europe,-324.78,574.26,0,-190.75,3,4,15.48,Medium,-15700.02,-3.87,-33.87,2396.42,44.07
16.48,3.44,-131.54,Europe,-254.43,589.56,0.27,-52.47,4,8,6.46,Low,-12472.52,-16.83,-37.02,-142.62,869.92
12.4,4.06,-119.92,UK,-305.76,521.4,0,312.41,3,0,11.38,Very high,-11365.68,-20.94,4.29,1747.26,832.14
6.14,8.12,-102.8,Europe,-150.33,533.58,0.69,-144.46,1,9,14.74,Very high,-19016.41,-4.44,-41.13,806.2,748.62
4.72,12.16,-180.88,USA,-186.06,476.61,6.1,252.86,4,1,5.22,Very high,-12100.8,-10.35,-8.79,1435.42,895.12
1.38,8.48,-165.44,UK,-284.76,524.82,2.44,82.7,4,10,5.8,Very high,-14116.08,-12.48,-29.61,857.56,0
8.28,3.4,-184.52,Rest,-225.33,593.76,2.44,-159.12,4,4,11.46,High,-22780.61,-10.35,-32.46,969.26,2039.66
6.6,20.6,-182.8,UK,-178.11,318.87,27474.53,126.69,6,4,6.88,Very low,-27335.35,-21.24,-38.01,1721.86,2277.7
11.6,14.36,-198.34,UK,-178.26,583.38,5.48,194.97,3,2,-0.64,Low,-21745.4,-0.84,-37.08,1364.74,2343.38
19.48,2.08,-166.18,UK,-367.62,478.14,0.01,444.5,3,5,5.6,Very high,-19477.78,-18.12,-34.65,2183.68,0
12.76,16.82,-190.04,Rest,-289.26,497.31,0.02,132.6,3,6,5.78,Very high,-12866.9,-15.9,-31.89,2175.44,1427.31
18.24,11.4,-224.54,UK,-248.34,483.45,0.08,-96.45,6,3,9.22,Medium,-21365.4,-12.81,-49.38,1278.44,2814.04
1.62,9.72,-28.38,UK,-268.8,699.15,3.28,232.32,7,3,4.42,Medium,-25513.15,-10.86,-46.32,1587.32,385.39
1.96,11.88,-185.74,Rest,-222.72,322.65,0.09,178.48,2,6,-4,Medium,-11707.43,1.56,-33.54,2123.48,0
11.58,3,-201.74,Europe,-213.6,498.78,227.67,213.76,2,5,11.82,High,-11111.48,-18.78,-36.03,1444.54,183.01
5.8,10.1,-170.18,UK,-338.82,470.49,67.16,-137.34,2,0,10.78,Very low,-14422.81,-16.77,-42.15,2176.66,0
6.22,13.12,-97.58,UK,-115.23,641.88,9.37,-151.61,1,3,-2.14,Low,-20762.02,7.86,-32.88,1040.34,2379.75
5.88,4.92,-254.5,Rest,-185.07,208.62,3.04,180.27,4,2,5.08,Very high,-8982.58,-3.99,-34.14,1474.26,2115.33
